"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"23","woopwoop!
Album Review — Purity Ring: “Another Eternity” http://t.co/vRuCio4F6M via ",FALSE,0,NA,2015-03-20 20:07:34,FALSE,NA,"579011419808616448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"24","my first  article! http://t.co/KYLmByOXcP",FALSE,1,NA,2015-01-15 19:39:52,FALSE,NA,"555811623072722945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"25"," lol",FALSE,0,"krewellamusic24",2014-09-30 20:16:35,FALSE,NA,"517045361672986624","1865195922","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"26","I am a    http://t.co/WLpndnbAyZ",FALSE,0,NA,2014-09-27 19:01:28,FALSE,NA,"515939295497310210",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",1,FALSE,FALSE,NA,NA
"27","check it out! Album Review – Porter Robinson: ‘Worlds’ http://t.co/Rk541svRVu via ",FALSE,0,NA,2014-08-09 23:31:25,FALSE,NA,"498250227480948736",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","mzhang13",0,FALSE,FALSE,NA,NA
"28","listening to  makes me happy to be alive.",FALSE,0,NA,2014-07-20 16:13:44,FALSE,NA,"490892322834751489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"29"," and while(1&lt;2) gives me hope that popular electronic music can be good someday. ",FALSE,0,"deadmau5",2014-06-17 00:02:39,FALSE,NA,"478689142881005568","22412376","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"30","Think Like a Freak was okaaaay, imo definitely not as interesting as its predecessors.. ",FALSE,0,NA,2014-05-25 18:12:16,FALSE,NA,"470628432552787968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"31","and the introversion.",FALSE,0,NA,2014-05-04 17:11:43,FALSE,NA,"463003047925678080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"32","check out my piece! Music — Lawnparties Preview: GRiZ http://t.co/ghwdXSiPKx via ",FALSE,0,NA,2014-05-02 01:27:02,FALSE,NA,"462040537067835392",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","mzhang13",0,FALSE,FALSE,NA,NA
"33","I can't get  voice out of my head ",FALSE,0,NA,2014-04-16 05:27:59,FALSE,NA,"456302967054807040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"34","Vote for ""Volunteering as an emergency medic..."" by 'Jessica Haller'!   via  http://t.co/ANkSSs50k0",FALSE,0,NA,2014-03-27 00:30:04,FALSE,NA,"448980236617539584",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","mzhang13",0,FALSE,FALSE,NA,NA
"35"," I feel you",FALSE,0,NA,2014-03-23 01:25:45,FALSE,NA,"447544696089624576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",0,FALSE,FALSE,NA,NA
"36","check out my album review of Skrillex: ‘Recess’ http://t.co/HqNlYBq4Vw via ",FALSE,0,NA,2014-03-13 04:33:36,FALSE,NA,"443968090674458624",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","mzhang13",0,FALSE,FALSE,NA,NA
"37","check out my review!
Music — Porter Robinson: “Sea of Voices” http://t.co/9Ciw9aedz3 via ",FALSE,0,NA,2014-03-04 00:01:28,FALSE,NA,"440638116362080256",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","mzhang13",0,FALSE,FALSE,NA,NA
"38","overused terms. ",FALSE,0,NA,2014-03-03 03:37:11,FALSE,NA,"440330015004061696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"39","the mornings you forget to bring your towel with you to the shower. ",FALSE,1,NA,2014-02-20 14:57:47,FALSE,NA,"436515029735981056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",0,FALSE,FALSE,"-74.65524125","40.34710912"
"40","Facebook's down so let's all jump on the next nearest social network.",FALSE,2,NA,2014-02-07 21:15:32,FALSE,NA,"431899051106111488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"41","the new $100 bills are actually beautiful.  ",FALSE,0,NA,2014-01-31 16:21:17,FALSE,NA,"429288284666073088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"42","we're all happy for ya. ",FALSE,0,NA,2014-01-25 22:24:36,FALSE,NA,"427205389717753856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"43","well, unfortunately this may be the year Peyton solidifies a place above Brady in history. ",FALSE,0,NA,2014-01-20 02:38:27,FALSE,NA,"425094944605224960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"44"," I think the Megan Tomlinson in the article easily describes more than a handful of people I've known in a number of HSs.",FALSE,0,"mzhang13",2014-01-20 02:36:19,FALSE,"425093871836483584","425094406455042048","29875935","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"45"," from my experience, I felt like there is generally enough differentiation to set aside a class size worth of people.",FALSE,0,"mjagger1",2014-01-20 02:34:11,FALSE,"425091301135380480","425093871836483584","144307925","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
