"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"97","My brother Chance!!! Thank you for letting me work on this masterpiece. One of my favorite people. https://t.co/V0ja6oDDoF",FALSE,53224,NA,2016-05-16 01:13:30,FALSE,NA,"732016090620928000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",18708,FALSE,FALSE,NA,NA
"98",".@ScHoolBoyQ GET TOP DAWG ON THE PHONE !",FALSE,47029,NA,2016-05-12 14:48:03,FALSE,NA,"730771527071760384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",25878,FALSE,FALSE,NA,NA
"99","Thank you for watching over our family. Nori and Kim say happy Mother's Day... And Saint smiled.",FALSE,93645,NA,2016-05-08 17:51:29,FALSE,NA,"729368136005263361",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",22111,FALSE,FALSE,NA,NA
"100","Found this in Mom's storage.  I love and miss you. https://t.co/5EYVY5HGLj",FALSE,150669,NA,2016-05-08 17:50:49,FALSE,NA,"729367967637458945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",39050,FALSE,FALSE,NA,NA
"101","So happy to do a video with my brothers. Rap can be fun. We had a great time. Respect.  https://t.co/9SaQbZuOkn",FALSE,19002,NA,2016-05-07 10:43:01,FALSE,NA,"728897919911366656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",5856,FALSE,FALSE,NA,NA
"102","We just had fun with the “future” theme !!!   It was a fun night all together ...",FALSE,22036,NA,2016-05-03 05:44:07,FALSE,NA,"727373148316942338",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",4276,FALSE,FALSE,NA,NA
"103","also to Kim’s hair and makeup Lorraine jewelry and the whole style squad at Balmain and the Yeezy team.",FALSE,17234,NA,2016-05-03 05:43:18,FALSE,NA,"727372945639768064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",2951,FALSE,FALSE,NA,NA
"104","and thank you for turning my personal jean jacket into a couture piece",FALSE,19772,NA,2016-05-03 05:38:58,FALSE,NA,"727371852935499777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",4358,FALSE,FALSE,NA,NA
"105","thank you Olivier for making 4 dresses for Kim to choose from which we chopped 2 in half",FALSE,21693,NA,2016-05-03 05:37:48,FALSE,NA,"727371558537277441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",4695,FALSE,FALSE,NA,NA
"106","Thank you Anna for the invite thank you to the whole Vogue team",FALSE,15686,NA,2016-05-03 05:35:16,FALSE,NA,"727370921435140097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",2800,FALSE,FALSE,NA,NA
"107","I’m really excited to get our first best dressed at the met …  This Gala is like the Grammys of style! https://t.co/POCtXJUGzN",FALSE,51147,NA,2016-05-03 05:33:37,FALSE,NA,"727370506622607360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",14510,FALSE,FALSE,NA,NA
"108","https://t.co/Gk6fzhiZOk",FALSE,218191,NA,2016-05-01 18:08:49,FALSE,NA,"726835785274646529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",174919,FALSE,FALSE,NA,NA
"109","I'm so proud of @LifeOfDesiigner #1 song in the country. Panda!!! Good music 2016!!!",FALSE,52037,NA,2016-04-28 01:11:56,FALSE,NA,"725492712800182274",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",15790,FALSE,FALSE,NA,NA
"110","I FEEL LIKE KOBE   https://t.co/WZnV0lMoXM",FALSE,32571,NA,2016-04-16 01:08:19,FALSE,NA,"721143149645537281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",12947,FALSE,FALSE,NA,NA
"111","Wes https://t.co/utUdOugetw",FALSE,15213,NA,2016-04-15 22:12:31,FALSE,NA,"721098908051632129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",3824,FALSE,FALSE,NA,NA
"112","https://t.co/fr6uKie04v",FALSE,208624,NA,2016-04-14 05:10:17,FALSE,NA,"720479266970984448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",116415,FALSE,FALSE,NA,NA
"113","At the God's last game https://t.co/eucluEFOFX",FALSE,162477,NA,2016-04-14 02:30:12,FALSE,NA,"720438978655027201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",77266,FALSE,FALSE,NA,NA
"114","I love this new A$AP FERG album!!!",FALSE,63005,NA,2016-04-11 01:27:30,FALSE,NA,"719336037068238848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",23409,FALSE,FALSE,NA,NA
"115","I also wanted to point out that it’s the first album to go number 1 off of streaming!!!",FALSE,46788,NA,2016-04-09 05:50:31,FALSE,NA,"718677450083999744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",14092,FALSE,FALSE,NA,NA
"116","I’m so happy that you guys like the music…  I’m working on the tour designs now…",FALSE,58740,NA,2016-04-09 05:50:00,FALSE,NA,"718677322635866114",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",17248,FALSE,FALSE,NA,NA
"117","Thank you to everybody who made The Life of Pablo the number 1 album in the world!!!",FALSE,86280,NA,2016-04-09 05:47:24,FALSE,NA,"718676669221965824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",31548,FALSE,FALSE,NA,NA
"118","Tribe changed music forever",FALSE,45938,NA,2016-04-05 23:35:20,FALSE,NA,"717495871231942657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",24715,FALSE,FALSE,NA,NA
"119","His mother’s poem at the celebration brought me to tears.",FALSE,20356,NA,2016-04-05 23:15:21,FALSE,NA,"717490840239783937",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",4044,FALSE,FALSE,NA,NA
"120","All respect prayers and love to Phife’s family    Thank you for so much inspiration",FALSE,29188,NA,2016-04-05 23:14:42,FALSE,NA,"717490677542731776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",7999,FALSE,FALSE,NA,NA
